iter	MAE	Quantile:alpha=0.5
231	4.602726659	2.301363329
232	4.601448471	2.300724235
233	4.601014424	2.300507212
234	4.600481895	2.300240947
235	4.599067882	2.299533941
236	4.59835204	2.29917602
237	4.596978343	2.298489172
238	4.595120257	2.297560129
239	4.593164522	2.296582261
240	4.590998219	2.29549911
241	4.590785917	2.295392959
242	4.589482781	2.29474139
243	4.587643628	2.293821814
244	4.586699952	2.293349976
245	4.585945493	2.292972746
246	4.584172928	2.292086464
247	4.58224875	2.291124375
248	4.581826032	2.290913016
249	4.580692297	2.290346149
250	4.579497362	2.289748681
251	4.578530957	2.289265478
252	4.577253221	2.28862661
253	4.576467993	2.288233996
254	4.575742683	2.287871341
255	4.574377919	2.287188959
256	4.57405453	2.287027265
257	4.573728806	2.286864403
258	4.572677222	2.286338611
259	4.571865364	2.285932682
260	4.570493035	2.285246517
261	4.569582219	2.284791109
262	4.568140105	2.284070052
263	4.567192389	2.283596194
264	4.566427387	2.283213693
265	4.565416271	2.282708136
266	4.564621157	2.282310579
267	4.563841512	2.281920756
268	4.562591364	2.281295682
269	4.562009821	2.281004911
270	4.560282172	2.280141086
271	4.559000983	2.279500491
272	4.558441461	2.27922073
273	4.55843876	2.27921938
274	4.558037623	2.279018812
275	4.556602831	2.278301415
276	4.555673431	2.277836716
277	4.554291767	2.277145884
278	4.553392948	2.276696474
279	4.552861733	2.276430866
280	4.551437864	2.275718932
281	4.550629918	2.275314959
282	4.550131222	2.275065611
283	4.54937132	2.27468566
284	4.548632764	2.274316382
285	4.547144504	2.273572252
286	4.546204087	2.273102043
287	4.544502206	2.272251103
288	4.543409494	2.271704747
289	4.542521794	2.271260897
290	4.541647157	2.270823578
291	4.539858686	2.269929343
292	4.538557083	2.269278542
293	4.537074676	2.268537338
294	4.535757418	2.267878709
295	4.534589312	2.267294656
296	4.533233558	2.266616779
297	4.531752985	2.265876493
298	4.531092602	2.265546301
299	4.530737599	2.265368799
300	4.530337144	2.265168572
301	4.529270543	2.264635272
302	4.528344541	2.26417227
303	4.527534006	2.263767003
304	4.526937754	2.263468877
305	4.525401922	2.262700961
306	4.523956462	2.261978231
307	4.522538595	2.261269298
308	4.521568567	2.260784283
309	4.520876921	2.26043846
310	4.519799453	2.259899726
311	4.51872103	2.259360515
312	4.517855051	2.258927526
313	4.517212618	2.258606309
314	4.516492534	2.258246267
315	4.514445014	2.257222507
316	4.514066828	2.257033414
317	4.51321442	2.25660721
318	4.512452961	2.256226481
319	4.511438132	2.255719066
320	4.509601174	2.254800587
321	4.50819719	2.254098595
322	4.507480951	2.253740476
323	4.505867516	2.252933758
324	4.505343765	2.252671883
325	4.503569235	2.251784618
326	4.502810157	2.251405079
327	4.501277563	2.250638782
328	4.500479248	2.250239624
329	4.499216783	2.249608391
330	4.497536716	2.248768358
331	4.496562759	2.24828138
332	4.495251351	2.247625675
333	4.493496742	2.246748371
334	4.491174273	2.245587136
335	4.490547713	2.245273857
336	4.489126308	2.244563154
337	4.488290936	2.244145468
338	4.487595988	2.243797994
339	4.486240184	2.243120092
340	4.485837327	2.242918663
341	4.48501644	2.24250822
342	4.484417114	2.242208557
343	4.483799419	2.241899709
344	4.482721501	2.24136075
345	4.480894647	2.240447324
346	4.480331584	2.240165792
347	4.479229378	2.239614689
348	4.478883123	2.239441562
349	4.47776769	2.238883845
350	4.476768596	2.238384298
351	4.475974169	2.237987085
352	4.475749462	2.237874731
353	4.474526901	2.237263451
354	4.473952789	2.236976395
355	4.472548948	2.236274474
356	4.470565296	2.235282648
357	4.470018882	2.235009441
358	4.469637852	2.234818926
359	4.469044763	2.234522381
360	4.467772927	2.233886463
361	4.467048146	2.233524073
362	4.46551907	2.232759535
363	4.463894674	2.231947337
364	4.462731956	2.231365978
365	4.462303465	2.231151732
366	4.461128936	2.230564468
367	4.459855399	2.2299277
368	4.459452117	2.229726058
369	4.459133135	2.229566567
370	4.457569531	2.228784765
371	4.454282061	2.22714103
372	4.453200651	2.226600325
373	4.452560115	2.226280058
374	4.451234092	2.225617046
375	4.449775719	2.22488786
376	4.44874447	2.224372235
377	4.447504519	2.223752259
378	4.446440182	2.223220091
379	4.445407687	2.222703843
380	4.444341646	2.222170823
381	4.443331158	2.221665579
382	4.441300873	2.220650436
383	4.439934721	2.219967361
384	4.439225537	2.219612768
385	4.438004639	2.21900232
386	4.436062487	2.218031244
387	4.43477464	2.21738732
388	4.433586599	2.216793299
389	4.432898301	2.21644915
390	4.432003316	2.216001658
391	4.430544898	2.215272449
392	4.429387145	2.214693573
393	4.427916004	2.213958002
394	4.426979062	2.213489531
395	4.426251904	2.213125952
396	4.425761093	2.212880547
397	4.424662633	2.212331316
398	4.423846925	2.211923462
399	4.423157061	2.21157853
400	4.421775297	2.210887648
401	4.420816689	2.210408344
402	4.419355246	2.209677623
403	4.418352144	2.209176072
404	4.416601945	2.208300972
405	4.415308672	2.207654336
406	4.414342958	2.207171479
407	4.412610689	2.206305344
408	4.411543182	2.205771591
409	4.410098351	2.205049175
410	4.409347196	2.204673598
411	4.40818109	2.204090545
412	4.407419623	2.203709812
413	4.406648515	2.203324258
414	4.405178236	2.202589118
415	4.403790373	2.201895186
416	4.40253694	2.20126847
417	4.401374969	2.200687485
418	4.399269755	2.199634877
419	4.398264208	2.199132104
420	4.397719461	2.198859731
421	4.39737802	2.19868901
422	4.396886974	2.198443487
423	4.395990825	2.197995412
424	4.395356433	2.197678216
425	4.394158179	2.197079089
426	4.393656231	2.196828116
427	4.39257739	2.196288695
428	4.391710991	2.195855496
429	4.390812241	2.19540612
430	4.389886351	2.194943176
431	4.389347161	2.19467358
432	4.388507849	2.194253925
433	4.387640711	2.193820355
434	4.387260128	2.193630064
435	4.384752615	2.192376307
436	4.38378589	2.191892945
437	4.382648176	2.191324088
438	4.38195709	2.190978545
439	4.380711059	2.19035553
440	4.379688268	2.189844134
441	4.378326634	2.189163317
442	4.377643681	2.188821841
443	4.377096401	2.1885482
444	4.376210527	2.188105264
445	4.375062576	2.187531288
446	4.374836574	2.187418287
447	4.374463361	2.187231681
448	4.37390784	2.18695392
449	4.373561829	2.186780914
450	4.372627846	2.186313923
451	4.371793868	2.185896934
452	4.371026969	2.185513485
453	4.370453429	2.185226715
454	4.369730785	2.184865393
455	4.367989684	2.183994842
456	4.36751403	2.183757015
457	4.366589356	2.183294678
458	4.364591174	2.182295587
459	4.363850644	2.181925322
460	4.362950552	2.181475276
461	4.362067905	2.181033953
462	4.361562979	2.18078149
463	4.3613454	2.1806727
464	4.360989042	2.180494521
465	4.360563139	2.18028157
466	4.359567769	2.179783884
467	4.358612757	2.179306379
468	4.357510879	2.178755439
469	4.356562148	2.178281074
470	4.355564047	2.177782023
471	4.35481384	2.17740692
472	4.35356136	2.17678068
473	4.35253498	2.17626749
474	4.352055857	2.176027929
475	4.350837831	2.175418916
476	4.350111773	2.175055887
477	4.349432563	2.174716282
478	4.348882817	2.174441408
479	4.348130485	2.174065243
480	4.346747709	2.173373855
481	4.346357405	2.173178702
482	4.345790474	2.172895237
483	4.344724094	2.172362047
484	4.342698299	2.171349149
485	4.341748649	2.170874324
486	4.341138671	2.170569336
487	4.339489564	2.169744782
488	4.33851682	2.16925841
489	4.337482826	2.168741413
490	4.337161555	2.168580778
491	4.336372589	2.168186294
492	4.335922821	2.167961411
493	4.334191622	2.167095811
494	4.332053911	2.166026955
495	4.331116189	2.165558095
496	4.32952575	2.164762875
497	4.328918589	2.164459295
498	4.328048711	2.164024356
499	4.327636882	2.163818441
500	4.326248361	2.16312418
501	4.325114991	2.162557496
502	4.324586074	2.162293037
503	4.323135924	2.161567962
504	4.322617918	2.161308959
505	4.321269845	2.160634923
506	4.320149913	2.160074957
507	4.319821525	2.159910763
508	4.318676775	2.159338388
509	4.318308481	2.15915424
510	4.317465276	2.158732638
511	4.315496245	2.157748122
512	4.31466105	2.157330525
513	4.31386986	2.15693493
514	4.313254784	2.156627392
515	4.312104495	2.156052247
516	4.311252494	2.155626247
517	4.309896476	2.154948238
518	4.309546752	2.154773376
519	4.308476403	2.154238201
520	4.307811954	2.153905977
521	4.306302141	2.153151071
522	4.305991964	2.152995982
523	4.305538679	2.15276934
524	4.304209889	2.152104945
525	4.303708884	2.151854442
526	4.302890428	2.151445214
527	4.301604911	2.150802455
528	4.300281322	2.150140661
529	4.298889794	2.149444897
530	4.297838821	2.14891941
531	4.297179692	2.148589846
532	4.29670597	2.148352985
533	4.295818418	2.147909209
534	4.294992303	2.147496151
535	4.293799237	2.146899619
536	4.292932432	2.146466216
537	4.292357761	2.14617888
538	4.291391328	2.145695664
539	4.290601059	2.145300529
540	4.289970444	2.144985222
541	4.289155222	2.144577611
542	4.288855792	2.144427896
543	4.288297933	2.144148967
544	4.28763275	2.143816375
545	4.286919906	2.143459953
546	4.286198397	2.143099199
547	4.285382176	2.142691088
548	4.284216687	2.142108344
549	4.283654174	2.141827087
550	4.283011999	2.141505999
551	4.282089214	2.141044607
552	4.281235058	2.140617529
553	4.280046476	2.140023238
554	4.279784325	2.139892162
555	4.279236008	2.139618004
556	4.278562306	2.139281153
557	4.277766797	2.138883399
558	4.277270503	2.138635252
559	4.276165165	2.138082582
560	4.27504864	2.13752432
561	4.273514222	2.136757111
562	4.272043486	2.136021743
563	4.271746201	2.1358731
564	4.271201785	2.135600892
565	4.270564935	2.135282467
566	4.269821548	2.134910774
567	4.268116484	2.134058242
568	4.267645805	2.133822903
569	4.266959702	2.133479851
570	4.266290028	2.133145014
571	4.26544216	2.13272108
572	4.264813195	2.132406598
573	4.263459457	2.131729729
574	4.262085541	2.131042771
575	4.261040889	2.130520445
576	4.260795402	2.130397701
577	4.260279088	2.130139544
578	4.259422215	2.129711108
579	4.258506145	2.129253073
580	4.258104157	2.129052079
581	4.256448489	2.128224245
582	4.255780683	2.127890341
583	4.254689031	2.127344515
584	4.253201294	2.126600647
585	4.252821335	2.126410667
586	4.251512432	2.125756216
587	4.25091226	2.12545613
588	4.249850949	2.124925474
589	4.248972315	2.124486157
590	4.248116751	2.124058375
591	4.247032126	2.123516063
592	4.246473824	2.123236912
593	4.245945541	2.122972771
594	4.245367848	2.122683924
595	4.244661612	2.122330806
596	4.244098141	2.12204907
597	4.243880101	2.12194005
598	4.243516139	2.12175807
599	4.242839319	2.12141966
600	4.242281284	2.121140642
601	4.241957546	2.120978773
602	4.241365355	2.120682678
603	4.240232265	2.120116133
604	4.239416837	2.119708419
605	4.238871478	2.119435739
606	4.238107571	2.119053785
607	4.237382669	2.118691334
608	4.236912765	2.118456382
609	4.236430523	2.118215261
610	4.235034978	2.117517489
611	4.234547345	2.117273672
612	4.233482421	2.116741211
613	4.232678992	2.116339496
614	4.232154975	2.116077487
615	4.230990901	2.11549545
616	4.230191766	2.115095883
617	4.22974226	2.11487113
618	4.229703949	2.114851974
619	4.229527407	2.114763703
620	4.228800884	2.114400442
621	4.228058499	2.114029249
622	4.227849161	2.11392458
623	4.226534562	2.113267281
624	4.225438136	2.112719068
625	4.224852612	2.112426306
626	4.223825024	2.111912512
627	4.223030022	2.111515011
628	4.221750168	2.110875084
629	4.221000182	2.110500091
630	4.219795969	2.109897985
631	4.219239006	2.109619503
632	4.218780731	2.109390366
633	4.21802574	2.10901287
634	4.215937784	2.107968892
635	4.214505804	2.107252902
636	4.213045927	2.106522964
637	4.212716144	2.106358072
638	4.211824981	2.105912491
639	4.211523577	2.105761789
640	4.21116868	2.10558434
641	4.21064952	2.10532476
642	4.21010439	2.105052195
643	4.208970085	2.104485043
644	4.208293269	2.104146635
645	4.207458852	2.103729426
646	4.207154873	2.103577437
647	4.206222294	2.103111147
648	4.205329876	2.102664938
649	4.204562268	2.102281134
650	4.204345416	2.102172708
651	4.203779127	2.101889563
652	4.203377792	2.101688896
653	4.2020778	2.1010389
654	4.201430909	2.100715454
655	4.200637617	2.100318808
656	4.199541719	2.099770859
657	4.198993859	2.099496929
658	4.198076164	2.099038082
659	4.197812545	2.098906273
660	4.196413877	2.098206939
661	4.195731669	2.097865835
662	4.195004239	2.097502119
663	4.194482051	2.097241025
664	4.193514357	2.096757178
665	4.192886161	2.096443081
666	4.192346719	2.09617336
667	4.190039495	2.095019747
668	4.189610206	2.094805103
669	4.187907947	2.093953973
670	4.186563028	2.093281514
671	4.186042438	2.093021219
672	4.185035626	2.092517813
673	4.184181143	2.092090571
674	4.183542781	2.091771391
675	4.183034366	2.091517183
676	4.182032897	2.091016449
677	4.181480899	2.090740449
678	4.18051017	2.090255085
679	4.179707745	2.089853873
680	4.179174231	2.089587116
681	4.178245909	2.089122954
682	4.177155196	2.088577598
683	4.176425682	2.088212841
684	4.175397904	2.087698952
685	4.174784308	2.087392154
686	4.174299625	2.087149812
687	4.173910826	2.086955413
688	4.172673446	2.086336723
689	4.171488888	2.085744444
690	4.171084864	2.085542432
691	4.170291737	2.085145869
692	4.169706135	2.084853067
693	4.169545991	2.084772996
694	4.168929413	2.084464707
695	4.168526108	2.084263054
696	4.167711063	2.083855532
697	4.166449372	2.083224686
698	4.166089462	2.083044731
699	4.165516195	2.082758097
700	4.164621069	2.082310534
701	4.164399823	2.082199912
702	4.163775756	2.081887878
703	4.163187083	2.081593542
704	4.161951739	2.08097587
705	4.161264078	2.080632039
706	4.160726219	2.080363109
707	4.159872875	2.079936438
708	4.15961031	2.079805155
709	4.15877935	2.079389675
710	4.157823678	2.078911839
711	4.15687827	2.078439135
712	4.156619745	2.078309873
713	4.15618526	2.07809263
714	4.155569613	2.077784807
715	4.15530129	2.077650645
716	4.154838206	2.077419103
717	4.154274724	2.077137362
718	4.15355057	2.076775285
719	4.152621371	2.076310685
720	4.151419511	2.075709756
721	4.150174923	2.075087462
722	4.149833016	2.074916508
723	4.149364078	2.074682039
724	4.148415133	2.074207566
725	4.147659544	2.073829772
726	4.146615757	2.073307878
727	4.146562583	2.073281291
728	4.145532438	2.072766219
729	4.145091656	2.072545828
730	4.144179426	2.072089713
731	4.143120825	2.071560413
732	4.141362996	2.070681498
733	4.1403999	2.07019995
734	4.13973827	2.069869135
735	4.139418874	2.069709437
736	4.138795189	2.069397594
737	4.137258549	2.068629275
738	4.13664772	2.06832386
739	4.136345657	2.068172829
740	4.134991773	2.067495886
741	4.134637056	2.067318528
742	4.133639201	2.066819601
743	4.133008265	2.066504133
744	4.132657401	2.066328701
745	4.1316601	2.06583005
746	4.130746272	2.065373136
747	4.130007673	2.065003837
748	4.128233806	2.064116903
749	4.127595679	2.063797839
750	4.1268092	2.0634046
751	4.125766178	2.062883089
752	4.124813238	2.062406619
753	4.123798032	2.061899016
754	4.123515608	2.061757804
755	4.12289829	2.061449145
756	4.122206334	2.061103167
757	4.122051634	2.061025817
758	4.121111915	2.060555958
759	4.120218122	2.060109061
760	4.119885975	2.059942988
761	4.118861196	2.059430598
762	4.11851224	2.05925612
763	4.117856627	2.058928313
764	4.117456516	2.058728258
765	4.115935376	2.057967688
766	4.115178747	2.057589374
767	4.114653162	2.057326581
768	4.11448341	2.057241705
769	4.114002451	2.057001226
770	4.11313572	2.05656786
771	4.112265872	2.056132936
772	4.111194758	2.055597379
773	4.110707116	2.055353558
774	4.109994985	2.054997492
775	4.109626383	2.054813192
776	4.108762958	2.054381479
777	4.108191037	2.054095518
778	4.107243797	2.053621899
779	4.106591041	2.053295521
780	4.106052467	2.053026234
781	4.105749912	2.052874956
782	4.105314026	2.052657013
783	4.104694176	2.052347088
784	4.103718068	2.051859034
785	4.103294792	2.051647396
786	4.102669299	2.05133465
787	4.101883735	2.050941868
788	4.101740013	2.050870007
789	4.101486357	2.050743179
790	4.099821231	2.049910615
791	4.099564625	2.049782313
792	4.098794614	2.049397307
793	4.098087489	2.049043744
794	4.097295597	2.048647799
795	4.097197401	2.048598701
796	4.095993493	2.047996746
797	4.0944984	2.0472492
798	4.09363269	2.046816345
799	4.092458414	2.046229207
800	4.091460584	2.045730292
801	4.089920642	2.044960321
802	4.089539439	2.04476972
803	4.088716087	2.044358043
804	4.087829124	2.043914562
805	4.086880325	2.043440163
806	4.08591816	2.04295908
807	4.085701224	2.042850612
808	4.085339739	2.04266987
809	4.085098521	2.04254926
810	4.084715545	2.042357773
811	4.084107879	2.04205394
812	4.083473538	2.041736769
813	4.083281152	2.041640576
814	4.082114639	2.041057319
815	4.080494246	2.040247123
816	4.080318462	2.040159231
817	4.079347104	2.039673552
818	4.079164992	2.039582496
819	4.078295139	2.039147569
820	4.077375229	2.038687615
821	4.076669065	2.038334533
822	4.076064299	2.03803215
823	4.075292267	2.037646133
824	4.074764341	2.037382171
825	4.073777905	2.036888952
826	4.073328172	2.036664086
827	4.072609342	2.036304671
828	4.072026648	2.036013324
829	4.071282915	2.035641458
830	4.070565762	2.035282881
831	4.069862259	2.034931129
832	4.068793553	2.034396776
833	4.067921798	2.033960899
834	4.067618122	2.033809061
835	4.066376625	2.033188313
836	4.06568505	2.032842525
837	4.064996958	2.032498479
838	4.06453311	2.032266555
839	4.064394383	2.032197191
840	4.063300203	2.031650102
841	4.062387991	2.031193996
842	4.061363436	2.030681718
843	4.061074891	2.030537445
844	4.060071903	2.030035952
845	4.059664219	2.02983211
846	4.058560307	2.029280153
847	4.058369157	2.029184579
848	4.057281249	2.028640624
849	4.05724439	2.028622195
850	4.056313314	2.028156657
851	4.055889275	2.027944638
852	4.055628447	2.027814224
853	4.05510719	2.027553595
854	4.054727797	2.027363899
855	4.05405536	2.02702768
856	4.05280034	2.02640017
857	4.052613811	2.026306905
858	4.051917779	2.02595889
859	4.0509528	2.0254764
860	4.050030376	2.025015188
861	4.049580005	2.024790003
862	4.048574627	2.024287314
863	4.048173432	2.024086716
864	4.047613566	2.023806783
865	4.047085839	2.023542919
866	4.046475537	2.023237768
867	4.045763848	2.022881924
868	4.045462497	2.022731249
869	4.044425581	2.022212791
870	4.043916446	2.021958223
871	4.043124463	2.021562231
872	4.042572019	2.02128601
873	4.041793972	2.020896986
874	4.040954085	2.020477042
875	4.040292625	2.020146312
876	4.039418019	2.01970901
877	4.038934206	2.019467103
878	4.038366656	2.019183328
879	4.037959633	2.018979817
880	4.037549058	2.018774529
881	4.036862881	2.018431441
882	4.036472662	2.018236331
883	4.035318048	2.017659024
884	4.034884946	2.017442473
885	4.034431028	2.017215514
886	4.033926987	2.016963493
887	4.033620859	2.01681043
888	4.033028209	2.016514105
889	4.032543142	2.016271571
890	4.031982988	2.015991494
891	4.031638016	2.015819008
892	4.031516921	2.015758461
893	4.030722794	2.015361397
894	4.030284254	2.015142127
895	4.02958414	2.01479207
896	4.029328204	2.014664102
897	4.029017212	2.014508606
898	4.028329525	2.014164763
899	4.027734628	2.013867314
900	4.027292422	2.013646211
901	4.02694603	2.013473015
902	4.026452082	2.013226041
903	4.025768885	2.012884442
904	4.025134767	2.012567383
905	4.024600677	2.012300338
906	4.023592883	2.011796442
907	4.022784691	2.011392345
908	4.022125066	2.011062533
909	4.021091358	2.010545679
910	4.020282108	2.010141054
911	4.019949989	2.009974994
912	4.019690349	2.009845175
913	4.019235423	2.009617711
914	4.019035048	2.009517524
915	4.018661884	2.009330942
916	4.017576974	2.008788487
917	4.017275514	2.008637757
918	4.016398111	2.008199055
919	4.01616392	2.00808196
920	4.015481718	2.007740859
921	4.014475664	2.007237832
922	4.013512459	2.006756229
923	4.013424384	2.006712192
924	4.013094957	2.006547479
925	4.012632588	2.006316294
926	4.012149516	2.006074758
927	4.011843994	2.005921997
928	4.011581635	2.005790817
929	4.010999145	2.005499573
930	4.010449549	2.005224774
931	4.010120234	2.005060117
932	4.009978334	2.004989167
933	4.009099157	2.004549578
934	4.008618377	2.004309189
935	4.008375217	2.004187608
936	4.008236405	2.004118203
937	4.008024808	2.004012404
938	4.007618026	2.003809013
939	4.006594642	2.003297321
940	4.005887509	2.002943755
941	4.005223467	2.002611733
942	4.004982842	2.002491421
943	4.004768521	2.002384261
944	4.003587537	2.001793769
945	4.002824233	2.001412117
946	4.002454293	2.001227147
947	4.002077638	2.001038819
948	4.00172656	2.00086328
949	4.001352687	2.000676343
950	4.00076326	2.00038163
951	4.000163794	2.000081897
952	3.999777897	1.999888949
953	3.999142024	1.999571012
954	3.998501733	1.999250867
955	3.997732726	1.998866363
956	3.997025038	1.998512519
957	3.996739327	1.998369663
958	3.996648899	1.998324449
959	3.996179451	1.998089725
960	3.995667106	1.997833553
961	3.995273749	1.997636874
962	3.994941438	1.997470719
963	3.994436278	1.997218139
964	3.993995506	1.996997753
965	3.993758533	1.996879266
966	3.99303812	1.99651906
967	3.992082853	1.996041427
968	3.99150407	1.995752035
969	3.990493316	1.995246658
970	3.989963599	1.994981799
971	3.989534921	1.994767461
972	3.988955441	1.99447772
973	3.987882644	1.993941322
974	3.987322569	1.993661285
975	3.986573211	1.993286606
976	3.985409197	1.992704599
977	3.985038948	1.992519474
978	3.984805864	1.992402932
979	3.984523479	1.992261739
980	3.984128185	1.992064093
981	3.983359939	1.991679969
982	3.982595688	1.991297844
983	3.981104171	1.990552085
984	3.980464619	1.990232309
985	3.979999749	1.989999875
986	3.979548041	1.989774021
987	3.979067859	1.989533929
988	3.978747133	1.989373566
989	3.97848446	1.98924223
990	3.977481966	1.988740983
991	3.977196359	1.98859818
992	3.976974797	1.988487399
993	3.976754316	1.988377158
994	3.976399913	1.988199957
995	3.975655914	1.987827957
996	3.975127296	1.987563648
