App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Microsoft Outlook,PRODUCTIVITY,4.3,3252896,50.0,100000000.0,Free,0.0,Everyone,Productivity,"August 2, 2018",2.2.194,4.4 and up
FotMob - Live Soccer Scores,SPORTS,4.7,410395,14.0,10000000.0,Free,0.0,Everyone,Sports,"July 31, 2018",1.0,4.1 and up
EO Guide,HEALTH_AND_FITNESS,4.3,15,24.0,1000.0,Paid,4.99,Everyone,Health & Fitness,"July 23, 2018",1.0.4,4.1 and up
FunForMobile Ringtones & Chat,SOCIAL,4.4,68358,7.2,5000000.0,Free,0.0,Mature 17+,Social,"May 7, 2016",3.22,4.1 and up
Oral-B App,HEALTH_AND_FITNESS,3.3,14210,96.0,1000000.0,Free,0.0,Everyone,Health & Fitness,"July 19, 2018",6.0.1,5.0 and up
